CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
information for attention,2019-05-20,2019.1845,Lithuania,Salmonella enterica ser. Kentucky (presence /25g) and Salmonella enterica ser. London (presence /25g) in rapeseed meal from Belarus,feed materials,feed,not serious,re-dispatch,distribution restricted to notifying country,rapeseed meal,"salmonella enterica ser. kentucky,salmonella enterica ser. london","pathogenic micro-organisms,pathogenic micro-organisms",Belarus
information for attention,2019-05-20,2019.1851,Czech Republic,Salmonella enterica ser. Infantis (presence in 4 out of 5 samples /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious, ,product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. infantis,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1843,Czech Republic,Salmonella enterica ser. Infantis (in 4 out of 5 samples /25g) in chilled turkey legs from Poland,poultry meat and poultry meat products,food,not serious,informing recipient(s),product (presumably) no longer on the market,chilled turkey legs,salmonella enterica ser. infantis,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1839,Czech Republic,Salmonella enterica ser. Newport (presence /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious,informing recipient(s),product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. newport,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1838,Czech Republic,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken breasts from Poland,poultry meat and poultry meat products,food,not serious,informing authorities,product (presumably) no longer on the market,chilled chicken breasts,salmonella enterica ser. infantis,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1842,Czech Republic,Salmonella enterica ser. Newport (5 out of 6 samples /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious,no stock left,product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. newport,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1849,Czech Republic,Salmonella enterica ser. Newport (presence /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious, ,product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. newport,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1853,Czech Republic,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious,informing recipient(s),product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. infantis,pathogenic micro-organisms,Poland
information for attention,2019-05-20,2019.1858,Czech Republic,Salmonella enterica ser. Newport (in 5 out of 5 samples /25g) in chilled chicken breast from Poland,poultry meat and poultry meat products,food,not serious, ,product (presumably) no longer on the market,chilled chicken breast,salmonella enterica ser. newport,pathogenic micro-organisms,Poland
border rejection,2019-05-20,2019.1844,Greece,Salmonella (presence /25g) in sesame seeds from Sudan,"nuts, nut products and seeds",food,serious,import not authorised,product not (yet) placed on the market,sesame seeds,salmonella,pathogenic micro-organisms,Sudan
border rejection,2019-05-20,2019.1854,Malta,incorrect labelling (no direct reference to milk) on confectionery items from Brazil,cereals and bakery products,food,undecided,relabelling,product not (yet) placed on the market,confectionery items,incorrect labelling,labelling absent/incomplete/incorrect,Brazil
alert,2019-05-20,2019.1847,Ireland,ochratoxin A (107.4 µg/kg - ppb) in liquorice roots from Azerbaijan,herbs and spices,food,serious,destruction,distribution to other member countries,liquorice roots,ochratoxin a,mycotoxins,Azerbaijan
border rejection,2019-05-20,2019.1850,Greece,Salmonella enterica ser. Rockdale (presence /25g) in sesame seeds from Ethiopia,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,sesame seeds,salmonella enterica ser. rockdale,pathogenic micro-organisms,Ethiopia
border rejection,2019-05-20,2019.1852,United Kingdom,Salmonella (presence /25g) in frozen salted chicken half breasts from Brazil,poultry meat and poultry meat products,food,serious,return to consignor,product not (yet) placed on the market,frozen salted chicken half breasts,salmonella,pathogenic micro-organisms,Brazil
information for follow-up,2019-05-20,2019.1860,Germany,tetrahydrocannabinol (THC) (2140 mg/kg - ppm) in hemp extract from Spain,"dietetic foods, food supplements, fortified foods",food,undecided,informing recipient(s),distribution to other member countries,hemp extract,tetrahydrocannabinol (thc),natural toxins (other),Spain
border rejection,2019-05-20,2019.1859,Greece,Salmonella (in 1 out of 5 samples /25g) in sesame seeds from Sudan,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,sesame seeds,salmonella,pathogenic micro-organisms,Sudan
information for attention,2019-05-20,2019.1841,Netherlands,"Salmonella (presence /25g) in turmeric from the Netherlands, with raw material from India",herbs and spices,food,serious,public warning - press release,distribution restricted to notifying country,turmeric,salmonella,pathogenic micro-organisms,India
information for follow-up,2019-05-17,2019.1835,Germany,"pyrrolizidine alkaloids (306000 µg/kg - ppb) in sliced borage from Poland, packaged in Germany",herbs and spices,food,undecided,withdrawal from recipient(s),distribution to other member countries,sliced borage,pyrrolizidine alkaloids,natural toxins (other),"Germany,Poland"
border rejection,2019-05-17,2019.1827,France,ochratoxin A (17 µg/kg - ppb) in raisins from Turkey,fruits and vegetables,food,serious,return to consignor,product not (yet) placed on the market,raisins,ochratoxin a,mycotoxins,Turkey
alert,2019-05-17,2019.1832,Bulgaria,chromium (287 mg/kg - ppm) and lead (1135 mg/kg - ppm) in turmeric powder from India,herbs and spices,food,serious,seizure,distribution to other member countries,turmeric powder,"chromium,lead","metals,metals",India
border rejection,2019-05-17,2019.1834,Czech Republic,"aflatoxins (B1 = 41.6; Tot. = 46.8 µg/kg - ppb) in hazelnut kernels from Turkey, via Croatia","nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,hazelnut kernels,aflatoxins,mycotoxins,Turkey
border rejection,2019-05-17,2019.1824,United Kingdom,suffocation risk as a result of the consumption of and E 407 - carrageenan unauthorised in mini jelly cups from China,confectionery,food,serious,re-dispatch,product not (yet) placed on the market,mini jelly cups,"e 407 - carrageenan unauthorised,suffocation risk as a result of the consumption","food additives and flavourings,not determined / other",China
information for follow-up,2019-05-17,2019.1825,Denmark,corrosion of cans containing fish Solyanka soup from Denmark,food contact materials,fcm,undecided,withdrawal from recipient(s),distribution to other member countries,cans containing fish solyanka soup,corrosion,organoleptic aspects,Denmark
alert,2019-05-17,2019.1833,Sweden,sesame and crustaceans undeclared on nugget snacks with sesame and seaweed flavor from Thailand,prepared dishes and snacks,food,serious,recall from consumers,distribution to other member countries,nugget snacks with sesame and seaweed flavor,"crustaceans undeclared,sesame undeclared","allergens,allergens",Thailand
alert,2019-05-17,2019.1830,Italy,"ochratoxin A (30 µg/kg - ppb) in sweet paprika from Spain, packaged in Italy",herbs and spices,food,serious,withdrawal from the market,distribution to other member countries,sweet paprika,ochratoxin a,mycotoxins,"Italy,Spain"
alert,2019-05-17,2019.1836,Germany,"high content of iodine (3230 mg/kg - ppm) in dried seaweed from China, via the Netherlands",fruits and vegetables,food,serious,destruction,no distribution from notifying country,dried seaweed,high content of iodine,composition,China
border rejection,2019-05-17,2019.1837,Germany,Salmonella enterica ser. Freetown (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,re-dispatch,product not (yet) placed on the market,black pepper,salmonella enterica ser. freetown,pathogenic micro-organisms,Brazil
information for attention,2019-05-17,2019.1826,Netherlands,Vibrio vulnificus (presence /25g) in frozen shrimps (Penaeus vannamei) from Honduras,crustaceans and products thereof,food,undecided, ,distribution restricted to notifying country,frozen shrimps (penaeus vannamei),vibrio vulnificus,pathogenic micro-organisms,Honduras
information for attention,2019-05-16,2019.1811,Germany,Salmonella serotype b (presence /250g) in shelled almonds from the United States,"nuts, nut products and seeds",food,serious,detained by operator,product not (yet) placed on the market,shelled almonds,salmonella serotype b,pathogenic micro-organisms,United States
border rejection,2019-05-16,2019.1810,Slovakia,"aflatoxins (B1 = 3.8; Tot. = 4,7 µg/kg - ppb) in groundnut spread with milk chocolate from Ukraine","nuts, nut products and seeds",food,serious,placed under customs seals,product allowed to travel to destination under customs seals,groundnut spread with milk chocolate,aflatoxins,mycotoxins,Ukraine
information for follow-up,2019-05-16,2019.1818,Austria,Salmonella enterica ser. Senftenberg (presence /25g) in soybean meal from Italy,feed materials,feed,not serious,detained by operator,no distribution from notifying country,soybean meal,salmonella enterica ser. senftenberg,pathogenic micro-organisms,Italy
alert,2019-05-16,2019.1805,France,Listeria monocytogenes (<10 CFU/g) in chilled cooked smoked duck fillet from France,poultry meat and poultry meat products,food,serious,detained by operator,distribution to other member countries,chilled cooked smoked duck fillet,listeria monocytogenes,microbial contaminants (other),France
alert,2019-05-16,2019.1817,Belgium,too high content of ragweed (Ambrosia spp.) seeds (up to 304 mg/kg - ppm) in sorghum from France,feed materials,feed,serious,informing authorities,no distribution from notifying country,sorghum,too high content of ragweed (ambrosia spp.) seeds,composition,France
alert,2019-05-16,2019.1820,Ireland,sesame undeclared on bread from Ireland,cereals and bakery products,food,serious,withdrawal from recipient(s),distribution to other member countries,bread,sesame undeclared,allergens,Ireland
information for attention,2019-05-16,2019.1821,Italy,chilled beef from Italy from animals which have not undergone sufficient withdrawal periods for veterinary medicines (lincomycin and spectinomycin),meat and meat products (other than poultry),food,undecided, ,product (presumably) no longer on the market,chilled beef,animals which have not undergone sufficient withdrawal period for veterinary medicine,residues of veterinary medicinal products,Italy
information for follow-up,2019-05-16,2019.1823,Ireland,too high content of coumarin (40.5 mg/kg - ppm) in breakfast cereals from oats with cinnamon from the United Kingdom,cereals and bakery products,food,not serious,withdrawal from the market,distribution to other member countries,breakfast cereals from oats with cinnamon,too high content of coumarin,food additives and flavourings,United Kingdom
border rejection,2019-05-16,2019.1803,France,ochratoxin A (18 µg/kg - ppb) in raisins from Turkey,fruits and vegetables,food,serious,return to consignor,product not (yet) placed on the market,raisins,ochratoxin a,mycotoxins,Turkey
alert,2019-05-16,2019.1808,Netherlands,aflatoxins (B1 = 7; Tot. = 15.6 µg/kg - ppb) in organic ground ginger from Nigeria,herbs and spices,food,serious,informing recipient(s),distribution to other member countries,organic ground ginger,aflatoxins,mycotoxins,Nigeria
information for attention,2019-05-16,2019.1809,Poland,Salmonella enterica ser. Enteritidis (presence /25g) in chilled chicken meat from chickens reared in the Czech Republic and slaughtered in Poland,poultry meat and poultry meat products,food,serious,withdrawal from the market,distribution restricted to notifying country,chilled chicken meat,salmonella enterica ser. enteritidis,pathogenic micro-organisms,"Czech Republic,Poland"
border rejection,2019-05-16,2019.1822,France,ochratoxin A (22 µg/kg - ppb) in raisins from Turkey,fruits and vegetables,food,serious,return to consignor,product not (yet) placed on the market,raisins,ochratoxin a,mycotoxins,Turkey
alert,2019-05-16,2019.1819,Belgium,traces of gluten (barley and wheat) in acidified semi-skimmed milk from Belgium,milk and milk products,food,serious,no action taken,distribution to other member countries,acidified semi-skimmed milk,"traces of gluten,traces of wheat","allergens,allergens",Belgium
information for follow-up,2019-05-16,2019.1812,Germany,too high content of vitamin D3 (12800 IU/kg) in complete feed for ornamental fish from the United States,compound feeds,feed,not serious,withdrawal from the market,distribution to other member countries,complete feed for ornamental fish,too high content of vitamin d3,composition,United States
border rejection,2019-05-16,2019.1807,Norway,aflatoxins (B1 = 11.5 µg/kg - ppb) in dried chillies from Sri Lanka,herbs and spices,food,serious,destruction,product not (yet) placed on the market,dried chillies,aflatoxins,mycotoxins,Sri Lanka
alert,2019-05-16,2019.1814,Belgium,presence of gluten in gluten-free yellow lentil spaghetti from Italy,cereals and bakery products,food,serious,withdrawal from the market,distribution to other member countries,gluten-free yellow lentil spaghetti,presence of gluten,allergens,Italy
information for attention,2019-05-16,2019.1816,United Kingdom,poor traceability records (tampering with passport) for chilled horse meat from the United Kingdom of a horse bred in Ireland,meat and meat products (other than poultry),food,undecided,informing authorities,product (presumably) no longer on the market,chilled horse meat,poor traceability records,poor or insufficient controls,"Ireland,United Kingdom"
alert,2019-05-16,2019.1813,Czech Republic,"ochratoxin A (19.8 µg/kg - ppb) in raisins from Uzbekistan, via Latvia and via Lithuania",fruits and vegetables,food,serious,informing recipient(s),distribution to other member countries,raisins,ochratoxin a,mycotoxins,Uzbekistan
alert,2019-05-16,2019.1815,Austria,emetic toxin producing Bacillus cereus (up to 15000 CFU/g) in organic dried basil from Austria,herbs and spices,food,serious,withdrawal from the market,distribution to other member countries,organic dried basil,emetic toxin producing bacillus cereus,pathogenic micro-organisms,Austria
alert,2019-05-15,2019.1797,Ireland,"migration of primary aromatic amines (up to 0.0493 mg/kg - ppm) from nylon ladle from unknown origin, via the United Kingdom",food contact materials,fcm,serious,withdrawal from the market,no distribution from notifying country,nylon ladle,migration of primary aromatic amines,migration,unknown origin
border rejection,2019-05-15,2019.1788,Netherlands,ochratoxin A (30 µg/kg - ppb) in raisins from Turkey,fruits and vegetables,food,serious,official detention,product not (yet) placed on the market,raisins,ochratoxin a,mycotoxins,Turkey
alert,2019-05-15,2019.1801,Belgium,"ethephon (5; 8.5 mg/kg - ppm) in pineapple from Ghana, via France",fruits and vegetables,food,serious,recall from consumers,distribution to other member countries,pineapple,ethephon,pesticide residues,Ghana
alert,2019-05-15,2019.1793,Greece,unauthorised substance chlorfenapyr (0.27 mg/kg - ppm) in cherry tomatoes from Italy,fruits and vegetables,food,serious,withdrawal from the market,distribution to other member countries,cherry tomatoes,unauthorised substance chlorfenapyr,pesticide residues,Italy
alert,2019-05-15,2019.1799,Belgium,Salmonella (present /25g) in chilled minced meat preparation from Belgium,meat and meat products (other than poultry),food,serious,re-dispatch,distribution to other member countries,chilled minced meat preparation,salmonella,pathogenic micro-organisms,Belgium
alert,2019-05-15,2019.1786,United Kingdom,foreign bodies (small pieces of blue rubber) in baby food from Poland,"dietetic foods, food supplements, fortified foods",food,serious,recall from consumers,distribution to other member countries,baby food,foreign body,foreign bodies,Poland
border rejection,2019-05-15,2019.1800,Greece,Salmonella enterica ser. Enteritidis (presence /25g) in chilli powder from China,herbs and spices,food,serious,destruction,product not (yet) placed on the market,chilli powder,salmonella enterica ser. enteritidis,pathogenic micro-organisms,China
information for attention,2019-05-15,2019.1789,France,parasitic infestation with Anisakis of chilled hake from Spain,fish and fish products,food,not serious,withdrawal from the market,product (presumably) no longer on the market,chilled hake,parasitic infestation with anisakis,parasitic infestation,Spain
border rejection,2019-05-15,2019.1795,United Kingdom,Salmonella (presence /25g) in frozen salted chicken half breasts from Brazil,poultry meat and poultry meat products,food,serious,re-dispatch,product not (yet) placed on the market,frozen salted chicken half breasts,salmonella,pathogenic micro-organisms,Brazil
border rejection,2019-05-15,2019.1796,France,improper health certificate(s) (for peanut crackers instead of peanuts) for peanuts from China,cereals and bakery products,food,not serious,return to consignor,product not (yet) placed on the market,peanuts,improper health certificate(s),adulteration / fraud,China
alert,2019-05-15,2019.1802,Belgium,shigatoxin-producing Escherichia coli (stx+ eae+ O26 /25g) in chilled beef from the Netherlands,meat and meat products (other than poultry),food,serious,detained by operator,no distribution to other member countries,chilled beef,shigatoxin-producing escherichia coli,microbial contaminants (other),Netherlands
information for attention,2019-05-15,2019.1798,Spain,Salmonella enterica ser. Djugu (detected /25g) in live venus clams (Chamellea gallina) from Italy,bivalve molluscs and products thereof,food,serious,no stock left,product (presumably) no longer on the market,live venus clams (chamellea gallina),salmonella enterica ser. djugu,pathogenic micro-organisms,Italy
border rejection,2019-05-15,2019.1792,United Kingdom,attempt to illegally import and absence of labelling on and of health certificate(s) for melon seeds and smoked crayfish from Nigeria,crustaceans and products thereof,food,not serious, ,product not (yet) placed on the market,melon seeds and smoked crayfish,"absence of health certificate(s),absence of labelling,attempt to illegally import","adulteration / fraud,labelling absent/incomplete/incorrect,adulteration / fraud",Nigeria
border rejection,2019-05-15,2019.1794,United Kingdom,"migration of primary aromatic amines (4,4-diaminodiphenylmethane: 5.2 mg/kg - ppm) from nylon slotted turners from China",food contact materials,fcm,serious,official detention,product not (yet) placed on the market,nylon slotted turners,migration of primary aromatic amines,migration,China
information for follow-up,2019-05-14,2019.1778,Austria,tetrahydrocannabinol (THC) (645 mg/kg - ppm) and unauthorised novel food ingredient cannabidiol (CBD) (32100 mg/kg - ppm) in organic hemp capsules from Austria,"dietetic foods, food supplements, fortified foods",food,undecided,withdrawal from the market,distribution to other member countries,organic hemp capsules,"tetrahydrocannabinol (thc),unauthorised novel food ingredient cannabidiol (cbd)","natural toxins (other),novel food",Austria
border rejection,2019-05-14,2019.1784,United Kingdom,attempt to illegally import and absence of health certificate(s) for melon seeds and smoked crayfish from Nigeria,other food product / mixed,food,not serious,destruction,product not (yet) placed on the market,melon seeds and smoked crayfish,"absence of health certificate(s),attempt to illegally import","adulteration / fraud,adulteration / fraud",Nigeria
border rejection,2019-05-14,2019.1779,Poland,"ochratoxin A (18,79 µg/kg - ppb) in raisins from China","nuts, nut products and seeds",food,serious, ,product not (yet) placed on the market,raisins,ochratoxin a,mycotoxins,China
border rejection,2019-05-14,2019.1777,Italy,migration of primary aromatic amines (1.750 mg/kg - ppm) from polyamide scoop colander from China,food contact materials,fcm,serious,destruction,product not (yet) placed on the market,polyamide scoop colander,migration of primary aromatic amines,migration,China
border rejection,2019-05-14,2019.1775,Netherlands,Salmonella (in 2 out of 5 samples /25g) in sesame seeds from Uganda,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,sesame seeds,salmonella,pathogenic micro-organisms,Uganda
information for attention,2019-05-14,2019.1776,Switzerland,unauthorised colour Sudan 4 (3.7 mg/kg - ppm) in palm oil from Nigeria,fats and oils,food,serious,recall from consumers,distribution restricted to notifying country,palm oil,unauthorised colour sudan 4,composition,Nigeria
alert,2019-05-14,2019.1774,Sweden,cadmium (0.279 mg/kg - ppm) in frozen spinach leaves from Belgium,fruits and vegetables,food,serious,withdrawal from the market,distribution restricted to notifying country,frozen spinach leaves,cadmium,metals,Belgium
alert,2019-05-14,2019.1785,Germany,"Salmonella (presence /25g) in shelled almonds from Spain, via France","nuts, nut products and seeds",food,serious,detained by operator,distribution to other member countries,shelled almonds,salmonella,pathogenic micro-organisms,Spain
border rejection,2019-05-14,2019.1780,Netherlands,aflatoxins (B1 = 15; Tot. = 17 µg/kg - ppb) in groundnuts from the United States,"nuts, nut products and seeds",food,serious,physical/chemical treatment,product not (yet) placed on the market,groundnuts,aflatoxins,mycotoxins,United States
alert,2019-05-14,2019.1787,Spain,"Salmonella (present /25g) in frozen boiled mussels from Spain, packaged in Portugal",bivalve molluscs and products thereof,food,serious,recall from consumers,no distribution to other member countries,frozen boiled mussels,salmonella,pathogenic micro-organisms,"Portugal,Spain"
information for follow-up,2019-05-14,2019.1782,Austria,unauthorised novel food ingredient cannabidiol (CBD) (34600 mg/kg - ppm) in organic CBD hemp from Austria,"dietetic foods, food supplements, fortified foods",food,undecided,withdrawal from the market,distribution to other member countries,organic cbd hemp,unauthorised novel food ingredient cannabidiol (cbd),novel food,Austria
information for follow-up,2019-05-13,2019.1768,Switzerland,"too high content of boron (4.6 mg/l) in sparkling natural mineral water from Turkey, via Germany",natural mineral water,food,undecided,recall from consumers,distribution restricted to notifying country,sparkling natural mineral water,too high content of boron,composition,Turkey
border rejection,2019-05-13,2019.1765,Bulgaria,"fosthiazate (0,234 mg/kg - ppm) in fresh peppers from Turkey",fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,fresh peppers,fosthiazate,pesticide residues,Turkey
border rejection,2019-05-13,2019.1766,United Kingdom,aflatoxins (B1 = 10.4; Tot. = 11.3 µg/kg - ppb) in organic red chilli flakes from India,herbs and spices,food,serious,destruction,product not (yet) placed on the market,organic red chilli flakes,aflatoxins,mycotoxins,India
border rejection,2019-05-13,2019.1771,France,absence of health certificate(s) for shelled nutmeg from India,herbs and spices,food,not serious,return to consignor,product not (yet) placed on the market,shelled nutmeg,absence of health certificate(s),adulteration / fraud,India
border rejection,2019-05-13,2019.1772,United Kingdom,incorrect use of packaging for frozen lamb meat from Australia,meat and meat products (other than poultry),food,not serious,re-dispatch,product not (yet) placed on the market,frozen lamb meat,incorrect use of packaging,packaging defective / incorrect,Australia
border rejection,2019-05-13,2019.1767,France,aflatoxins (B1 = 106; Tot. = 114 µg/kg - ppb) in dried figs from Turkey,fruits and vegetables,food,serious,return to consignor,product not (yet) placed on the market,dried figs,aflatoxins,mycotoxins,Turkey
border rejection,2019-05-13,2019.1764,Bulgaria,formetanate (0.116 mg/kg - ppm) in peppers from Turkey,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,peppers,formetanate,pesticide residues,Turkey
information for attention,2019-05-13,2019.1769,Switzerland,too high content of boron (2.2 mg/l) in natural mineral water from Turkey,natural mineral water,food,undecided,recall from consumers,distribution restricted to notifying country,natural mineral water,too high content of boron,composition,Turkey
border rejection,2019-05-13,2019.1770,France,absence of health certificate(s) for nutmeg powder from India,herbs and spices,food,not serious,return to consignor,product not (yet) placed on the market,nutmeg powder,absence of health certificate(s),adulteration / fraud,India
border rejection,2019-05-13,2019.1773,France,improper health certificate(s) and certified analytical report for groundnut crackers and wasabi groundnuts from China,"nuts, nut products and seeds",food,not serious,return to consignor,product not (yet) placed on the market,groundnut crackers and wasabi groundnuts,"improper certified analytical report,improper health certificate(s)","adulteration / fraud,adulteration / fraud",China
alert,2019-05-13,2019.1763,Italy,mercury (1.7 mg/kg - ppm) in vacuum-packed defrosted tuna loins from Spain,fish and fish products,food,serious,withdrawal from the market,distribution to other member countries,vacuum-packed defrosted tuna loins,mercury,metals,Spain
border rejection,2019-05-10,2019.1756,Spain,aflatoxins (B1 = >24 µg/kg - ppb) in almonds in shell from the United States,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,almonds in shell,aflatoxins,mycotoxins,United States
border rejection,2019-05-10,2019.1748,Spain,unauthorised substance tricyclazole (0.022 mg/kg - ppm) in basmati rice from India,cereals and bakery products,food,undecided,import not authorised,product not (yet) placed on the market,basmati rice,unauthorised substance tricyclazole,pesticide residues,India
border rejection,2019-05-10,2019.1761,Spain,risk of mouth injury as a result of the consumption (pH < 2) of candy in gel from China,confectionery,food,undecided,import not authorised,product not (yet) placed on the market,candy in gel,risk of mouth injury as a result of the consumption,not determined / other,China
border rejection,2019-05-10,2019.1752,Italy,unauthorised substance carbendazim (0.53 mg/kg - ppm) in peppers from Uganda,fruits and vegetables,food,serious,official detention,product not (yet) placed on the market,peppers,unauthorised substance carbendazim,pesticide residues,Uganda
information for attention,2019-05-10,2019.1762,Belgium,risk of explosion of bottles with sparkling wine from Argentina,alcoholic beverages,food,undecided,detained by operator,distribution restricted to notifying country,bottles with sparkling wine,risk of explosion,packaging defective / incorrect,Argentina
alert,2019-05-10,2019.1758,Belgium,fish undeclared on salmon lasagne incorrectly labelled as normal lasagne from Belgium,prepared dishes and snacks,food,serious,withdrawal from the market,distribution to other member countries,salmon lasagne incorrectly labelled as normal lasagne,fish undeclared,allergens,Belgium
information for follow-up,2019-05-10,2019.1754,Slovakia,"too high content of colour E 104 - quinoline yellow (44.6 mg/kg - ppm) and undeclared colour E 102 - tartrazine in candies from Poland, via Hungary",confectionery,food,not serious,withdrawal from the market,distribution to other member countries,candies,"too high content of colour e 104 - quinoline yellow,undeclared colour e 102 - tartrazine","food additives and flavourings,food additives and flavourings",Poland
alert,2019-05-10,2019.1757,Switzerland,"mercury (1.16 mg/kg - ppm) in frozen tuna steak from the United Kingdom, with raw material from South Korea, via France",fish and fish products,food,serious,withdrawal from the market,distribution to other member countries,frozen tuna steak,mercury,metals,"South Korea,United Kingdom"
border rejection,2019-05-10,2019.1760,Bulgaria,aflatoxins (Tot. = 18.5 µg/kg - ppb) in shrivelled hazelnut kernels from Georgia,"nuts, nut products and seeds",food,serious, ,product not (yet) placed on the market,shrivelled hazelnut kernels,aflatoxins,mycotoxins,Georgia
information for attention,2019-05-10,2019.1759,Lithuania,Salmonella enterica ser. Infantis (presence /25g) in chilled chicken broiler from Poland,poultry meat and poultry meat products,food,not serious,destruction,product (presumably) no longer on the market,chilled chicken broiler,salmonella enterica ser. infantis,pathogenic micro-organisms,Poland
alert,2019-05-09,2019.1736,Austria,pyrrolizidine alkaloids (14871 µg/kg - ppb) in oregano from France,herbs and spices,food,serious,withdrawal from the market,distribution to other member countries,oregano,pyrrolizidine alkaloids,natural toxins (other),France
alert,2019-05-09,2019.1741,Austria,pyrrolizidine alkaloids (21011 µg/kg - ppb) in rubbed oregano from Austria,herbs and spices,food,serious,detained by operator,distribution to other member countries,rubbed oregano,pyrrolizidine alkaloids,natural toxins (other),Austria
border rejection,2019-05-09,2019.1738,France,absence of health certificate(s) and of certified analytical report for sesame seeds from India,"nuts, nut products and seeds",food,serious,destruction,product not (yet) placed on the market,sesame seeds,"absence of certified analytical report,absence of health certificate(s)","adulteration / fraud,adulteration / fraud",India
alert,2019-05-09,2019.1743,Germany,mercury (1.23 mg/kg - ppm) in frozen escolar chunks from Vietnam,fish and fish products,food,serious, ,distribution to other member countries,frozen escolar chunks,mercury,metals,Vietnam
information for attention,2019-05-09,2019.1740,Czech Republic,Salmonella enterica ser. Enteritidis (presence in 5 out of 5 samples /25g) in boneless chicken legs from Poland,poultry meat and poultry meat products,food,serious,no stock left,product (presumably) no longer on the market,boneless chicken legs,salmonella enterica ser. enteritidis,pathogenic micro-organisms,Poland
border rejection,2019-05-09,2019.1742,Germany,aflatoxins (B1 = 14.1; Tot. = 15.8 µg/kg - ppb) in pistachios from the United States,"nuts, nut products and seeds",food,serious,re-dispatch,product not (yet) placed on the market,pistachios,aflatoxins,mycotoxins,United States
border rejection,2019-05-09,2019.1732,United Kingdom,poor temperature control - rupture of the cold chain - and improper storage of frozen salmon fillets from Chile,fish and fish products,food,not serious,import not authorised,product not (yet) placed on the market,frozen salmon fillets,"improper storage,poor temperature control - rupture of the cold chain -","poor or insufficient controls,poor or insufficient controls",Chile
alert,2019-05-09,2019.1744,Belgium,"migration of melamine (2.95 mg/kg - ppm) from melamine plate from China, via the Netherlands",food contact materials,fcm,serious,recall from consumers,no distribution from notifying country,melamine plate,migration of melamine,industrial contaminants,China
alert,2019-05-09,2019.1739,Austria,pyrrolizidine alkaloids (14366 µg/kg - ppb) in oregano from Austria,herbs and spices,food,serious,detained by operator,distribution to other member countries,oregano,pyrrolizidine alkaloids,natural toxins (other),Austria
alert,2019-05-09,2019.1733,Belgium,shigatoxin-producing Escherichia coli (O157 stx+ eae+ /25g) in chilled beef from Belgium,meat and meat products (other than poultry),food,serious,withdrawal from the market,distribution to other member countries,chilled beef,shigatoxin-producing escherichia coli,microbial contaminants (other),Belgium
information for follow-up,2019-05-09,2019.1734,Austria,Salmonella enterica ser. Mbandaka (present /25g) in soybean meal from Italy,feed materials,feed,not serious,physical/chemical treatment,no distribution from notifying country,soybean meal,salmonella enterica ser. mbandaka,pathogenic micro-organisms,Italy
information for attention,2019-05-09,2019.1735,Switzerland,"shigatoxin-producing Escherichia coli (O116:H28, stx2a+ aggR-, O26 /25g) in raw milk cheese (Chaource) from France, via Germany",milk and milk products,food,serious,withdrawal from the market,product (presumably) no longer on the market,raw milk cheese (chaource),shigatoxin-producing escherichia coli,microbial contaminants (other),France
alert,2019-05-09,2019.1737,Austria,pyrrolizidine alkaloids (3397 µg/kg - ppb) in herb mixture (bouquet garni) from Austria,herbs and spices,food,serious,detained by operator,distribution to other member countries,herb mixture (bouquet garni),pyrrolizidine alkaloids,natural toxins (other),Austria
alert,2019-05-08,2019.1727,Belgium,shigatoxin-producing Escherichia coli (stx1+ stx2+ eae+) in soft cheese (Chaource) from France,milk and milk products,food,serious,withdrawal from the market,distribution to other member countries,soft cheese (chaource),shigatoxin-producing escherichia coli,microbial contaminants (other),France
