CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
border rejection,2009-04-27,2009.AVA,Germany,aflatoxins (B1 < 0.2; Tot. < 0.2 / B1 < 0.2; Tot. < 0.2 / B1 = 47.1; Tot. = 50.6 µg/kg - ppb) in pistachio nuts from Iran,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,pistachio nuts,aflatoxins,mycotoxins,Iran
information,2009-04-27,2009.0526,Germany,oxamyl (0.31 mg/kg - ppm) in green peppers from Turkey,fruits and vegetables,food,undecided,withdrawal from the market,distribution restricted to notifying country,green peppers,oxamyl,pesticide residues,Turkey
border rejection,2009-04-27,2009.AVI,Germany,aflatoxins (B1 = 5.8; Tot. = 6.5 µg/kg - ppb) in almonds without shell from the United States,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,almonds without shell,aflatoxins,mycotoxins,United States
information,2009-04-27,2009.0525,United Kingdom,inadequate heat processing (failed result for phosphatase testing) of frozen steamed diced chicken breast from Brazil,poultry meat and poultry meat products,food,undecided,withdrawal from the market,distribution restricted to notifying country,frozen steamed diced chicken breast,inadequate thermal processing,poor or insufficient controls,Brazil
information,2009-04-27,2009.0533,Slovenia,Salmonella Bredeney (presence /10g) in pork/turkey medallions from Austria,meat and meat products (other than poultry),food,undecided,no stock left,product past use-by date,pork/turkey medallions,salmonella enterica ser. bredeney,pathogenic micro-organisms,Austria
border rejection,2009-04-27,2009.AVM,Lithuania,parasitic infestation (4 dead helminths - Philometra spp. - and trematode larvae found) of frozen rudd (Scardinius erythrophtalmus) from the Russian Federation,fish and fish products,food,undecided,re-dispatch,no distribution,frozen rudd (scardinius erythrophtalmus),parasitic infestation,parasitic infestation,Russia
border rejection,2009-04-27,2009.AVJ,Spain,aflatoxins (B1 = 12.24; Tot. = 13.55 µg/kg - ppb) in pistachios from the United States,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,pistachios,aflatoxins,mycotoxins,United States
border rejection,2009-04-27,2009.AVC,Netherlands,aflatoxins (B1 = 9.5; Tot. = 10.5 µg/kg - ppb) in groundnut kernels from Argentina,"nuts, nut products and seeds",food,undecided,official detention,no distribution,groundnut kernels,aflatoxins,mycotoxins,Argentina
border rejection,2009-04-27,2009.AVH,Germany,aflatoxins (B1 = 3.20; Tot. = 7.45 µg/kg - ppb) in roasted diced hazelnut from Turkey,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,roasted diced hazelnut,aflatoxins,mycotoxins,Turkey
alert,2009-04-27,2009.0535,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (3.1 µg/kg - ppb) in frozen raw headless shell on freshwater king prawns (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),frozen raw headless shell on freshwater king prawns (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-27,2009.AVB,Spain,bad hygienic state of fresh pears from Argentina,fruits and vegetables,food,undecided,(obsolete),no distribution,fresh pears,poor hygienic state,poor or insufficient controls,Argentina
border rejection,2009-04-27,2009.AVF,United Kingdom,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (2 µg/kg - ppb) in frozen crustaceans from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen crustaceans,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-27,2009.AUZ,Netherlands,aflatoxins (B1 = 12; Tot. = 14 µg/kg - ppb) in curry powder from India,herbs and spices,food,undecided,official detention,no distribution,curry powder,aflatoxins,mycotoxins,India
