PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
"dietetic foods, food supplements, fortified foods",austria,germany,"novel food,novel food","unauthorised novel food ingredient clinoptilolite,unauthorised novel food ingredient obtained through nanotechnology",undecided
fruits and vegetables,finland,united kingdom,novel food,unauthorised novel food ingredient smallanthus sonchifolius,undecided
cereals and bakery products,france,malaysia,genetically modified food or feed,unauthorised genetically modified,undecided
"dietetic foods, food supplements, fortified foods",finland,united states,novel food,unauthorised novel food ingredient coriolus versicolor,undecided
fish and fish products,italy,france,parasitic infestation,parasitic infestation with pseudoterranova,undecided
feed materials,sweden,uruguay,pathogenic micro-organisms,salmonella enterica ser. stratford,undecided
fruits and vegetables,italy,chile,pesticide residues,unauthorised substance iprodione,undecided
fruits and vegetables,slovakia,hungary,food additives and flavourings,sulphite undeclared,undecided
compound feeds,spain,france,composition,processed animal protein,undecided
cereals and bakery products,denmark,thailand,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 133 - brilliant blue fcf",undecided
honey and royal jelly,belgium,india,residues of veterinary medicinal products,prohibited substance metronidazole,undecided
confectionery,italy,pakistan,food additives and flavourings,unauthorised use of colour e 129 - allura red ac,undecided
fruits and vegetables,spain,thailand,food additives and flavourings,unauthorised use of colour e 102 - tartrazine,undecided
cereals and bakery products,finland,lithuania,mycotoxins,ochratoxin a,undecided
compound feeds,spain,netherlands,composition,processed animal protein,undecided
fish and fish products,poland,kenya,pathogenic micro-organisms,salmonella,undecided
"soups, broths, sauces and condiments",italy,pakistan,composition,unauthorised use of e 260 - synthetic acetic acid,undecided
"nuts, nut products and seeds",greece,united states,mycotoxins,aflatoxins,undecided
bivalve molluscs and products thereof,france,chile,pathogenic micro-organisms,norovirus,undecided
"dietetic foods, food supplements, fortified foods",finland,netherlands,novel food,unauthorised novel food ingredient epimedium,undecided
food contact materials,finland,china,"metals,metals","migration of chromium,migration of nickel",undecided
fish and fish products,germany,oman,microbial contaminants (other),high aerobic plate count,undecided
crustaceans and products thereof,france,vietnam,metals,cadmium,undecided
food contact materials,finland,united states,metals,migration of nickel,undecided
"dietetic foods, food supplements, fortified foods",finland,netherlands,novel food,unauthorised novel food ingredient cnidium monnieri,undecided
milk and milk products,italy,germany,"pathogenic micro-organisms,organoleptic aspects","bacillus cereus,altered organoleptic characteristics",undecided
meat and meat products (other than poultry),denmark,denmark,pathogenic micro-organisms,salmonella,undecided
"dietetic foods, food supplements, fortified foods",finland,united states,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
fish and fish products,germany,vietnam,biological contaminants (other),histamine,undecided
fruits and vegetables,czech republic,iran,industrial contaminants,aliphatic hydrocarbons,undecided
fruits and vegetables,netherlands,chile,"pesticide residues,pesticide residues","dimethoate,unauthorised substance omethoate",undecided
fruits and vegetables,estonia,spain,pesticide residues,unauthorised substance dithiocarbamates,undecided
"soups, broths, sauces and condiments",denmark,italy,microbial contaminants (other),infested with moulds,undecided
fruits and vegetables,spain,costa rica,poor or insufficient controls,poor hygienic state,undecided
fish and fish products,germany,senegal,microbial contaminants (other),high count of enterobacteriaceae,undecided
pet food,italy,germany,tses,too high molecular weight,undecided
milk and milk products,poland,poland,microbial contaminants (other),listeria monocytogenes,undecided
feed materials,belgium,belgium,pathogenic micro-organisms,salmonella enterica ser. mbandaka,undecided
food contact materials,czech republic,china,"migration,migration","migration of formaldehyde,too high level of overall migration",undecided
fats and oils,netherlands,senegal,"composition,composition","unauthorised colour sudan 3,unauthorised colour sudan 4",undecided
prepared dishes and snacks,united kingdom,turkey,labelling absent/incomplete/incorrect,incorrect labelling,undecided
fruits and vegetables,lithuania,india,pesticide residues,chlormequat,undecided
fruits and vegetables,germany,"china,france","composition,composition","high content of iodine,iodine undeclared",undecided
bivalve molluscs and products thereof,spain,india,poor or insufficient controls,poor temperature control - rupture of the cold chain -,undecided
natural mineral water,poland,ukraine,microbial contaminants (other),escherichia coli,undecided
prepared dishes and snacks,united kingdom,iran,food additives and flavourings,too high content of colour e 110 - sunset yellow fcf,undecided
bivalve molluscs and products thereof,italy,portugal,microbial contaminants (other),too high count of escherichia coli,undecided
"nuts, nut products and seeds",czech republic,bolivia,mycotoxins,aflatoxins,undecided
fish and fish products,italy,"switzerland,thailand",metals,mercury,undecided
eggs and egg products,france,italy,labelling absent/incomplete/incorrect,absence of labelling,undecided
meat and meat products (other than poultry),italy,argentina,foreign bodies,foreign body,undecided
fruits and vegetables,united kingdom,china,metals,lead,undecided
meat and meat products (other than poultry),denmark,"germany,italy",foreign bodies,plastic fragments,undecided
meat and meat products (other than poultry),ireland,ireland,food additives and flavourings,sulphite undeclared,undecided
fruits and vegetables,united kingdom,turkey,labelling absent/incomplete/incorrect,insufficient labelling,undecided
gastropods,spain,morocco,parasitic infestation,parasitic infestation,undecided
poultry meat and poultry meat products,denmark,germany,pathogenic micro-organisms,salmonella enterica ser. livingstone,undecided
non-alcoholic beverages,austria,germany,allergens,gluten undeclared,undecided
"soups, broths, sauces and condiments",bulgaria,thailand,biological contaminants (other),histamine,undecided
fruits and vegetables,estonia,"argentina,lithuania",food additives and flavourings,too high content of e 200 - sorbic acid,undecided
fruits and vegetables,spain,spain,pesticide residues,unauthorised substance carbendazim,undecided
herbs and spices,netherlands,thailand,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. hvittingfoss,salmonella enterica ser. weltevreden",undecided
herbs and spices,netherlands,thailand,pathogenic micro-organisms,salmonella enterica ser. weltevreden,undecided
crustaceans and products thereof,greece,china,"food additives and flavourings,food additives and flavourings","unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 124 - ponceau 4r / cochineal red a",undecided
herbs and spices,netherlands,thailand,pathogenic micro-organisms,salmonella enterica ser. rissen,undecided
herbs and spices,netherlands,thailand,pathogenic micro-organisms,salmonella enterica ser. hadar,undecided
"soups, broths, sauces and condiments",denmark,denmark,allergens,celery undeclared,undecided
fruits and vegetables,czech republic,china,metals,tin,undecided
crustaceans and products thereof,germany,"china,germany,netherlands",residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),undecided
herbs and spices,france,dominican republic,pesticide residues,unauthorised substance dicofol,undecided
food contact materials,greece,china,"migration,migration,migration","inner coating oxidized,inner coating peeling off,too high level of overall migration",undecided
fruits and vegetables,italy,republic of north macedonia,pathogenic micro-organisms,enterotoxin producing bacillus cereus,undecided
fruits and vegetables,slovenia,"india,netherlands",pesticide residues,chlormequat,undecided
"dietetic foods, food supplements, fortified foods",romania,china,radiation,unauthorised irradiation,undecided
fruits and vegetables,slovenia,india,pesticide residues,chlormequat,undecided
feed materials,latvia,morocco,pathogenic micro-organisms,salmonella enterica ser. senftenberg,undecided
meat and meat products (other than poultry),italy,pakistan,adulteration / fraud,illegal import,undecided
eggs and egg products,spain,spain,pathogenic micro-organisms,salmonella enterica ser. enteritidis,undecided
fruits and vegetables,slovakia,argentina,food additives and flavourings,too high content of e 200 - sorbic acid,undecided
fish and fish products,italy,croatia,biological contaminants (other),histamine,undecided
non-alcoholic beverages,malta,bulgaria,microbial contaminants (other),high count of yeasts,undecided
fruits and vegetables,germany,spain,pesticide residues,formetanate,undecided
fruits and vegetables,italy,uganda,pesticide residues,unauthorised substance omethoate,undecided
fish and fish products,slovakia,poland,"environmental pollutants,environmental pollutants","dioxin-like polychlorobifenyls,dioxins",undecided
fruits and vegetables,italy,thailand,pesticide residues,unauthorised substance ethion,undecided
"dietetic foods, food supplements, fortified foods",italy,china,"composition,composition","unauthorised substance sildenafil,unauthorised substance sildenafil thiono analogue",undecided
pet food,austria,"germany,india",pathogenic micro-organisms,salmonella enterica ser. anatum,undecided
fruits and vegetables,denmark,netherlands,pathogenic micro-organisms,salmonella enterica ser. newport,undecided
fruits and vegetables,sweden,thailand,pesticide residues,unauthorised substance profenofos,undecided
"soups, broths, sauces and condiments",united kingdom,italy,foreign bodies,glass fragments,undecided
milk and milk products,romania,bulgaria,microbial contaminants (other),escherichia coli,undecided
herbs and spices,france,madagascar,"pesticide residues,pesticide residues,pesticide residues","cypermethrin,prohibited substance ddt,unauthorised substance dichlorvos",undecided
fish and fish products,germany,vietnam,composition,carbon monoxide treatment,undecided
fish and fish products,bulgaria,argentina,biological contaminants (other),histamine,undecided
fruits and vegetables,netherlands,egypt,pesticide residues,fenitrothion,undecided
fruits and vegetables,hungary,india,pesticide residues,chlormequat,undecided
fruits and vegetables,poland,china,foreign bodies,infested with insects,undecided
poultry meat and poultry meat products,denmark,netherlands,pathogenic micro-organisms,salmonella enterica ser. enteritidis,undecided
fruits and vegetables,bulgaria,"turkey,united kingdom",pesticide residues,oxamyl,undecided
fruits and vegetables,bulgaria,"netherlands,turkey",pesticide residues,methomyl,undecided
"dietetic foods, food supplements, fortified foods",czech republic,united states,composition,unauthorised substance sildenafil thiono analogue,undecided
meat and meat products (other than poultry),france,germany,pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
fish and fish products,spain,spain,microbial contaminants (other),listeria monocytogenes,undecided
"nuts, nut products and seeds",netherlands,indonesia,mycotoxins,aflatoxins,undecided
food contact materials,germany,czech republic,food additives and flavourings,migration of colour,undecided
fruits and vegetables,estonia,"lithuania,turkey",food additives and flavourings,too high content of sulphite,undecided
"nuts, nut products and seeds",spain,china,organoleptic aspects,spoilage,undecided
fruits and vegetables,poland,iraq,"foreign bodies,foreign bodies","dead insects,excrements of insects",undecided
"nuts, nut products and seeds",ireland,bolivia,pathogenic micro-organisms,salmonella enterica ser. anatum,undecided
fruits and vegetables,poland,china,foreign bodies,infested with larvae of insects,undecided
fruits and vegetables,italy,egypt,"microbial contaminants (other),organoleptic aspects","infested with moulds,spoilage",undecided
cereals and bakery products,poland,ukraine,mycotoxins,ochratoxin a,undecided
fish and fish products,france,lithuania,microbial contaminants (other),listeria monocytogenes,undecided
fruits and vegetables,malta,belgium,foreign bodies,plastic fragments,undecided
fruits and vegetables,finland,belgium,foreign bodies,dead mouse,undecided
fish and fish products,denmark,china,food additives and flavourings,e 251 - sodium nitrate unauthorised,undecided
"dietetic foods, food supplements, fortified foods",slovakia,turkey,mycotoxins,aflatoxins,undecided
fruits and vegetables,poland,serbia,organoleptic aspects,altered organoleptic characteristics,undecided
fats and oils,denmark,italy,pathogenic micro-organisms,salmonella enterica ser. anatum,undecided
milk and milk products,austria,austria,microbial contaminants (other),infested with moulds,undecided
fruits and vegetables,slovakia,"india,netherlands",pesticide residues,chlormequat,undecided
"cocoa and cocoa preparations, coffee and tea",france,france,foreign bodies,glass fragments,undecided
fish and fish products,italy,south korea,metals,mercury,undecided
fish and fish products,netherlands,gambia,adulteration / fraud,unauthorised import,undecided
fruits and vegetables,sweden,thailand,pesticide residues,chlorpyrifos,undecided
"nuts, nut products and seeds",united kingdom,pakistan,"composition,composition","unauthorised colour orange ii,unauthorised colour rhodamine b",undecided
compound feeds,belgium,belgium,pathogenic micro-organisms,salmonella enterica ser. senftenberg,undecided
"nuts, nut products and seeds",greece,iran,mycotoxins,aflatoxins,undecided
fish and fish products,luxembourg,belgium,microbial contaminants (other),listeria monocytogenes,undecided
fruits and vegetables,germany,india,pesticide residues,chlormequat,undecided
poultry meat and poultry meat products,czech republic,poland,allergens,lactose undeclared,undecided
crustaceans and products thereof,italy,"cuba,spain",food additives and flavourings,too high content of sulphite,undecided
poultry meat and poultry meat products,italy,brazil,poor or insufficient controls,poor state of preservation,undecided
"dietetic foods, food supplements, fortified foods",poland,united states,composition,unauthorised substance boron citrate,undecided
fish and fish products,latvia,argentina,parasitic infestation,parasitic infestation with anisakis,undecided
cereals and bakery products,denmark,sweden,microbial contaminants (other),infested with moulds,undecided
fish and fish products,switzerland,gambia,environmental pollutants,benzo(a)pyrene,undecided
gastropods,italy,tunisia,organoleptic aspects,altered organoleptic characteristics,undecided
fish and fish products,italy,côte d'ivoire,pathogenic micro-organisms,salmonella,undecided
pet food,united kingdom,argentina,mycotoxins,aflatoxins,undecided
herbs and spices,belgium,india,composition,unauthorised colour butter yellow,undecided
fish and fish products,france,sri lanka,biological contaminants (other),histamine,undecided
confectionery,united kingdom,vietnam,not determined / other,suffocation risk as a result of the consumption,undecided
fruits and vegetables,greece,china,"organoleptic aspects,foreign bodies","altered organoleptic characteristics,infested with insects",undecided
food contact materials,finland,romania,"metals,metals","migration of cadmium,migration of lead",undecided
fruits and vegetables,greece,turkey,pesticide residues,oxamyl,undecided
fruits and vegetables,greece,syria,pesticide residues,unauthorised substance carbendazim,undecided
milk and milk products,ireland,spain,microbial contaminants (other),listeria monocytogenes,undecided
fruits and vegetables,malta,belgium,"foreign bodies,foreign bodies","foreign body,infested with insects",undecided
milk and milk products,france,france,"organoleptic aspects,microbial contaminants (other)","altered organoleptic characteristics,infested with yeasts",undecided
food contact materials,finland,germany,metals,migration of lead,undecided
bivalve molluscs and products thereof,italy,italy,microbial contaminants (other),escherichia coli,undecided
fruits and vegetables,greece,turkey,pesticide residues,unauthorised substance carbaryl,undecided
"nuts, nut products and seeds",spain,india,poor or insufficient controls,poor hygienic state,undecided
"dietetic foods, food supplements, fortified foods",czech republic,united states,novel food,unauthorised novel food ingredient tongkat ali (eurycoma longifolia),undecided
meat and meat products (other than poultry),cyprus,bulgaria,food additives and flavourings,sulphite undeclared,undecided
meat and meat products (other than poultry),luxembourg,pakistan,"residues of veterinary medicinal products,residues of veterinary medicinal products","prohibited substance chloramphenicol,quinolones unauthorised",undecided
feed materials,czech republic,latvia,pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
fruits and vegetables,slovakia,hungary,food additives and flavourings,e 210 - benzoic acid unauthorised,undecided
fish and fish products,latvia,lithuania,parasitic infestation,parasitic infestation,undecided
fish and fish products,germany,vietnam,pathogenic micro-organisms,salmonella,undecided
"dietetic foods, food supplements, fortified foods",czech republic,"czech republic,united states",composition,unauthorised substance melatonin,undecided
meat and meat products (other than poultry),latvia,lithuania,pathogenic micro-organisms,salmonella enterica ser. kentucky,undecided
fruits and vegetables,finland,spain,microbial contaminants (other),bacillus cereus diarrheal enterotoxin,undecided
feed materials,lithuania,india,composition,unauthorised animal ingredient,undecided
confectionery,germany,"malaysia,netherlands","food additives and flavourings,not determined / other","e 407 - carrageenan unauthorised,suffocation risk as a result of the consumption",undecided
"soups, broths, sauces and condiments",slovakia,vietnam,allergens,celery undeclared,undecided
"nuts, nut products and seeds",sweden,china,adulteration / fraud,expired health certificate(s),undecided
bivalve molluscs and products thereof,france,ireland,microbial contaminants (other),too high count of escherichia coli,undecided
pet food,germany,thailand,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. cerro,salmonella enterica ser. havana",undecided
fruits and vegetables,germany,spain,pesticide residues,unauthorised substance ethion,undecided
"nuts, nut products and seeds",finland,italy,food additives and flavourings,too high content of sulphite,undecided
fruits and vegetables,germany,thailand,"pesticide residues,pesticide residues,pesticide residues","dimethomorph,metalaxyl,unauthorised substance dicrotophos",undecided
food contact materials,italy,turkey,metals,migration of chromium,undecided
bivalve molluscs and products thereof,italy,france,natural toxins (other),diarrhoeic shellfish poisoning (dsp) toxins,undecided
fruits and vegetables,denmark,turkey,"organoleptic aspects,microbial contaminants (other)","altered organoleptic characteristics,infested with yeasts",undecided
crustaceans and products thereof,greece,india,residues of veterinary medicinal products,prohibited substance chloramphenicol,undecided
fish and fish products,spain,indonesia,metals,mercury,undecided
crustaceans and products thereof,austria,"bangladesh,italy",pathogenic micro-organisms,salmonella enterica ser. brunei,undecided
food contact materials,austria,china,not determined / other,risk of internal injuries as a result of the consumption,undecided
herbs and spices,germany,"china,peru,spain",mycotoxins,ochratoxin a,undecided
meat and meat products (other than poultry),denmark,spain,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. derby,salmonella enterica ser. typhimurium dt 120,salmonella enterica ser. typhimurium dt 193 - multiresistant",undecided
fruits and vegetables,sweden,poland,pathogenic micro-organisms,foodborne outbreak suspected,undecided
"nuts, nut products and seeds",austria,germany,genetically modified food or feed,unauthorised genetically modified,undecided
feed materials,hungary,ukraine,pathogenic micro-organisms,salmonella,undecided
fish and fish products,spain,south africa,parasitic infestation,parasitic infestation,undecided
"dietetic foods, food supplements, fortified foods",germany,austria,metals,mercury,undecided
fish and fish products,luxembourg,france,microbial contaminants (other),listeria monocytogenes,undecided
fish and fish products,austria,austria,microbial contaminants (other),listeria monocytogenes,undecided
milk and milk products,france,france,foreign bodies,glass fragments,undecided
gastropods,united kingdom,ghana,organoleptic aspects,spoilage,undecided
fruits and vegetables,germany,turkey,"pesticide residues,pesticide residues","dimethoate,unauthorised substance carbendazim",undecided
feed materials,poland,germany,tses,too high molecular weight,undecided
"dietetic foods, food supplements, fortified foods",slovenia,china,composition,unauthorised substance sibutramine,undecided
herbs and spices,spain,bolivia,composition,unauthorised colour rhodamine b,undecided
bivalve molluscs and products thereof,denmark,ireland,pathogenic micro-organisms,norovirus,undecided
pet food,germany,india,pathogenic micro-organisms,salmonella enterica ser. dublin,undecided
poultry meat and poultry meat products,denmark,germany,pathogenic micro-organisms,salmonella enterica ser. saintpaul,undecided
meat and meat products (other than poultry),united kingdom,brazil,packaging defective / incorrect,bulging packaging,undecided
"nuts, nut products and seeds",greece,ethiopia,pathogenic micro-organisms,salmonella enterica ser. bredeney,undecided
herbs and spices,germany,india,"composition,composition","unauthorised colour sudan 1,unauthorised colour sudan 4",undecided
"dietetic foods, food supplements, fortified foods",france,"france,poland",pesticide residues,fluazifop-p,undecided
fish and fish products,slovenia,croatia,biological contaminants (other),histamine,undecided
fish and fish products,germany,china,packaging defective / incorrect,defective packaging,undecided
fruits and vegetables,italy,argentina,pesticide residues,metalaxyl,undecided
"nuts, nut products and seeds",italy,india,microbial contaminants (other),faecal streptococci,undecided
fruits and vegetables,france,thailand,pesticide residues,unauthorised substance omethoate,undecided
fruits and vegetables,spain,costa rica,organoleptic aspects,spoilage,undecided
fish and fish products,germany,china,poor or insufficient controls,poor hygienic state,undecided
fats and oils,france,senegal,composition,unauthorised colour sudan 4,undecided
food contact materials,ireland,unknown origin,migration,migration of primary aromatic amines,undecided
"dietetic foods, food supplements, fortified foods",poland,turkey,pathogenic micro-organisms,cronobacter sakazakii,undecided
herbs and spices,commission services,india,mycotoxins,aflatoxins,undecided
non-alcoholic beverages,italy,pakistan,food additives and flavourings,too high content of sulphite,undecided
fish and fish products,italy,"south korea,spain",metals,mercury,undecided
fruits and vegetables,finland,france,pathogenic micro-organisms,salmonella enterica ser. arizonae,undecided
fruits and vegetables,czech republic,india,food additives and flavourings,sulphite undeclared,undecided
fruits and vegetables,belgium,italy,metals,high content of lead,undecided
"dietetic foods, food supplements, fortified foods",slovenia,spain,composition,too low content of linoleic acid,undecided
herbs and spices,france,"china,united kingdom","microbial contaminants (other),pathogenic micro-organisms,microbial contaminants (other)","escherichia coli,salmonella,sulphite reducing anaerobes",undecided
milk and milk products,france,belgium,labelling absent/incomplete/incorrect,absence of labelling,undecided
eggs and egg products,netherlands,"netherlands,ukraine",environmental pollutants,dioxins,undecided
fruits and vegetables,greece,jordan,"pesticide residues,pesticide residues,pesticide residues","unauthorised substance acephate,unauthorised substance carbendazim,unauthorised substance methamidophos",undecided
"nuts, nut products and seeds",bulgaria,"china,turkey",labelling absent/incomplete/incorrect,incorrect labelling,undecided
fruits and vegetables,czech republic,hungary,food additives and flavourings,sulphite undeclared,undecided
pet food,sweden,poland,pathogenic micro-organisms,salmonella enterica ser. give,undecided
natural mineral water,latvia,lithuania,foreign bodies,foreign body,undecided
confectionery,czech republic,poland,allergens,lactose undeclared,undecided
meat and meat products (other than poultry),finland,germany,pathogenic micro-organisms,salmonella enterica ser. javiana,undecided
fruits and vegetables,germany,china,"composition,composition","high content of iodine,iodine undeclared",undecided
"nuts, nut products and seeds",spain,iran,mycotoxins,aflatoxins,undecided
bivalve molluscs and products thereof,italy,denmark,poor or insufficient controls,unfit for human consumption,undecided
meat and meat products (other than poultry),italy,spain,pathogenic micro-organisms,salmonella enterica ser. rissen,undecided
meat and meat products (other than poultry),italy,austria,labelling absent/incomplete/incorrect,absence of health mark,undecided
milk and milk products,france,france,foreign bodies,metal fragments,undecided
food contact materials,ireland,"china,united kingdom",migration,migration of primary aromatic amines,undecided
cereals and bakery products,austria,czech republic,genetically modified food or feed,unauthorised genetically modified,undecided
pet food,germany,argentina,pathogenic micro-organisms,salmonella,undecided
honey and royal jelly,slovenia,croatia,"labelling absent/incomplete/incorrect,adulteration / fraud","absence of labelling,improper health certificate(s)",undecided
fruits and vegetables,belgium,egypt,"pesticide residues,pesticide residues","unauthorised substance ethion,unauthorised substance hexaflumuron",undecided
food contact materials,greece,ukraine,metals,migration of lead,undecided
food contact materials,germany,turkey,"metals,metals","migration of cadmium,migration of lead",undecided
"cocoa and cocoa preparations, coffee and tea",romania,china,radiation,unauthorised irradiation,undecided
pet food,belgium,germany,pathogenic micro-organisms,salmonella enterica ser. mississippi,undecided
fish and fish products,poland,vietnam,adulteration / fraud,improper health certificate(s),undecided
"nuts, nut products and seeds",france,argentina,mycotoxins,aflatoxins,undecided
meat and meat products (other than poultry),italy,bulgaria,"food additives and flavourings,food additives and flavourings","sulphite unauthorised,sulphite undeclared",undecided
herbs and spices,germany,brazil,pathogenic micro-organisms,salmonella enterica ser. rubislaw,undecided
meat and meat products (other than poultry),denmark,germany,food additives and flavourings,too high content of e 450(i) - disodium diphosphate,undecided
meat and meat products (other than poultry),germany,germany,foreign bodies,metal pieces,undecided
fruits and vegetables,hungary,morocco,pesticide residues,tau-fluvalinate,undecided
cereals and bakery products,austria,"canada,czech republic",genetically modified food or feed,unauthorised genetically modified,undecided
food contact materials,italy,"china,hong kong","metals,metals","migration of chromium,migration of nickel",undecided
gastropods,united kingdom,nigeria,organoleptic aspects,spoilage,undecided
fish and fish products,united kingdom,indonesia,biological contaminants (other),histamine,undecided
fruits and vegetables,hungary,morocco,"pesticide residues,pesticide residues","prohibited substance hexachlorobenzene,quintozene",undecided
"dietetic foods, food supplements, fortified foods",slovenia,serbia,"metals,allergens","cadmium,gluten undeclared",undecided
gastropods,italy,tunisia,pathogenic micro-organisms,salmonella,undecided
"dietetic foods, food supplements, fortified foods",greece,thailand,packaging defective / incorrect,damaged packaging,undecided
food contact materials,greece,china,metals,migration of chromium,undecided
fruits and vegetables,belgium,thailand,"pesticide residues,pesticide residues,pesticide residues","unauthorised substance omethoate,unauthorised substance profenofos,unauthorised substance prothiofos",undecided
confectionery,italy,united states,"food additives and flavourings,food additives and flavourings","too high content of colour e 110 - sunset yellow fcf,too high content of colour e 129 - allura red ac",undecided
fish and fish products,belgium,ghana,organoleptic aspects,unsuitable organoleptic characteristics,undecided
fruits and vegetables,germany,thailand,pesticide residues,unauthorised substance dicrotophos,undecided
"soups, broths, sauces and condiments",lithuania,russia,food additives and flavourings,sweetener e 952 - cyclamate unauthorised,undecided
fish and fish products,france,united states,parasitic infestation,parasitic infestation with anisakis,undecided
meat and meat products (other than poultry),denmark,germany,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella,salmonella enterica ser. schwarzengrund",undecided
feed materials,finland,"netherlands,uruguay",pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
fruits and vegetables,denmark,hungary,foreign bodies,glass fragments,undecided
fish and fish products,italy,netherlands,food additives and flavourings,e 640 - glycine unauthorised,undecided
fruits and vegetables,spain,thailand,food additives and flavourings,too high content of sulphite,undecided
poultry meat and poultry meat products,bulgaria,bulgaria,pathogenic micro-organisms,salmonella enterica ser. infantis,undecided
fruits and vegetables,italy,vietnam,pathogenic micro-organisms,salmonella,undecided
"dietetic foods, food supplements, fortified foods",lithuania,slovenia,pesticide residues,piperonylbutoxide,undecided
food contact materials,germany,china,metals,migration of cadmium,undecided
cereals and bakery products,italy,pakistan,mycotoxins,aflatoxins,undecided
meat and meat products (other than poultry),finland,indonesia,radiation,unauthorised irradiation,undecided
crustaceans and products thereof,italy,ecuador,food additives and flavourings,too high content of sulphite,undecided
pet food,germany,india,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. bareilly,salmonella enterica ser. kentucky,salmonella enterica ser. mbandaka,salmonella enterica ser. poona,salmonella enterica ser. saintpaul,salmonella enterica ser. anatum",undecided
pet food,germany,india,mycotoxins,aflatoxins,undecided
fish and fish products,italy,portugal,biological contaminants (other),histamine,undecided
"nuts, nut products and seeds",germany,india,"mycotoxins,foreign bodies,microbial contaminants (other),organoleptic aspects","aflatoxins,infested with larvae of insects,infested with moulds,spoilage",undecided
"cocoa and cocoa preparations, coffee and tea",finland,"china,united kingdom",pesticide residues,prohibited substance hexachlorobenzene,undecided
"dietetic foods, food supplements, fortified foods",finland,"united kingdom,united states","radiation,food additives and flavourings","unauthorised irradiation,unauthorised use of colour e 127 - erythrosine",undecided
fruits and vegetables,greece,turkey,foreign bodies,infested with insects,undecided
food contact materials,germany,"germany,taiwan","environmental pollutants,migration","benzo(a)pyrene,migration of primary aromatic amines",undecided
"dietetic foods, food supplements, fortified foods",finland,"united kingdom,united states","novel food,composition","unauthorised novel food ingredient epimedium,unauthorised substance tadalafil",undecided
fruits and vegetables,germany,thailand,"foreign bodies,foreign bodies","contaminated with faeces,infested with larvae of insects",undecided
"dietetic foods, food supplements, fortified foods",germany,germany,not determined / other,suffocation risk as a result of the consumption,undecided
fruits and vegetables,germany,turkey,pesticide residues,unauthorised substance procymidone,undecided
"cocoa and cocoa preparations, coffee and tea",finland,china,"pathogenic micro-organisms,microbial contaminants (other)","salmonella enterica ser. singapore,faecal streptococci",undecided
confectionery,spain,china,poor or insufficient controls,poor hygienic state,undecided
fish and fish products,slovakia,latvia,environmental pollutants,benzo(a)pyrene,undecided
"cocoa and cocoa preparations, coffee and tea",spain,côte d'ivoire,poor or insufficient controls,poor hygienic state,undecided
fruits and vegetables,cyprus,syria,pesticide residues,unauthorised substance carbendazim,undecided
feed materials,poland,"latvia,slovakia",pathogenic micro-organisms,salmonella,undecided
fats and oils,italy,"portugal,south korea",metals,mercury,undecided
fruits and vegetables,belgium,thailand,"pesticide residues,pesticide residues","tetradifon,unauthorised substance ethion",undecided
fish and fish products,netherlands,china,adulteration / fraud,attempt to illegally import,undecided
"dietetic foods, food supplements, fortified foods",spain,united kingdom,allergens,traces of milk,undecided
"dietetic foods, food supplements, fortified foods",italy,netherlands,"novel food,novel food","unauthorised novel food ingredient cnidium monnieri,unauthorised novel food ingredient epimedium",undecided
fish and fish products,austria,vietnam,composition,carbon monoxide treatment,undecided
meat and meat products (other than poultry),france,italy,pathogenic micro-organisms,salmonella,undecided
fruits and vegetables,germany,thailand,pesticide residues,unauthorised substance profenofos,undecided
food contact materials,poland,china,composition,adverse reaction,undecided
eggs and egg products,hungary,italy,pathogenic micro-organisms,salmonella enterica ser. enteritidis,undecided
"dietetic foods, food supplements, fortified foods",poland,united states,composition,unauthorised ingredient,undecided
milk and milk products,switzerland,france,food additives and flavourings,e 231 - orthophenylphenol unauthorised,undecided
"cocoa and cocoa preparations, coffee and tea",italy,india,pesticide residues,piperonylbutoxide,undecided
fish and fish products,romania,vietnam,microbial contaminants (other),listeria spp,undecided
fruits and vegetables,germany,thailand,"pesticide residues,pesticide residues","unauthorised substance diafenthiuron,unauthorised substance dicrotophos",undecided
feed materials,bulgaria,south korea,labelling absent/incomplete/incorrect,absence of labelling,undecided
"dietetic foods, food supplements, fortified foods",hungary,slovakia,pesticide residues,captan,undecided
fish and fish products,italy,united states,parasitic infestation,parasitic infestation,undecided
"nuts, nut products and seeds",germany,turkey,microbial contaminants (other),infested with moulds,undecided
