PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
fruits and vegetables,slovakia,turkey,food additives and flavourings,too high content of sulphite,undecided
"dietetic foods, food supplements, fortified foods",poland,"germany,slovakia",composition,prohibited substance yohimbine,serious
milk and milk products,france,france,microbial contaminants (other),listeria monocytogenes,undecided
"nuts, nut products and seeds",united kingdom,india,pesticide residues,unauthorised substance ethylene oxide,serious
food contact materials,belgium,taiwan,industrial contaminants,migration of melamine,undecided
fruits and vegetables,norway,netherlands,pesticide residues,dodine,undecided
fruits and vegetables,germany,thailand,pesticide residues,unauthorised substance carbendazim,undecided
fruits and vegetables,croatia,turkey,pesticide residues,unauthorised substance chlorpyrifos,serious
herbs and spices,netherlands,china,metals,cadmium,undecided
poultry meat and poultry meat products,italy,poland,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
food contact materials,germany,china,metals,migration of lead,serious
cereals and bakery products,italy,italy,pesticide residues,unauthorised substance tetramethrin,undecided
fish and fish products,united kingdom,gambia,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. agona,salmonella enterica ser. münster,salmonella enterica ser. nyborg,salmonella enterica ser. poona",undecided
herbs and spices,netherlands,china,environmental pollutants,polycyclic aromatic hydrocarbons,serious
other food product / mixed,sweden,netherlands,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,not serious
"nuts, nut products and seeds",belgium,united states,mycotoxins,aflatoxins,serious
prepared dishes and snacks,united kingdom,united kingdom,allergens,milk ingredient undeclared,serious
"nuts, nut products and seeds",luxembourg,"germany,luxembourg",pesticide residues,unauthorised substance ethylene oxide,serious
compound feeds,cyprus,spain,tses,presence of ruminant dna,not serious
fish and fish products,italy,uganda,poor or insufficient controls,histologic lesions due to freezing,not serious
fish and fish products,italy,spain,food additives and flavourings,high content of e 300 - ascorbic acid,not serious
"nuts, nut products and seeds",germany,"greece,nigeria",pesticide residues,unauthorised substance ethylene oxide,serious
food additives and flavourings,hungary,malaysia,allergens,mustard undeclared,serious
fruits and vegetables,netherlands,china,metals,cadmium,undecided
fish and fish products,sweden,bulgaria,foreign bodies,glass fragments,serious
cereals and bakery products,lithuania,ukraine,composition,too high content of trans fatty acids,not serious
"cocoa and cocoa preparations, coffee and tea",spain,ecuador,pesticide residues,unauthorised substance chlorpyrifos,undecided
"cocoa and cocoa preparations, coffee and tea",austria,indonesia,"environmental pollutants,environmental pollutants","benzo(a)pyrene,polycyclic aromatic hydrocarbons",serious
meat and meat products (other than poultry),spain,france,pesticide residues,unauthorised substance ethylene oxide,undecided
cereals and bakery products,norway,vietnam,pesticide residues,unauthorised substance tricyclazole,undecided
cereals and bakery products,italy,italy,pesticide residues,pirimiphos-methyl,not serious
"dietetic foods, food supplements, fortified foods",poland,united kingdom,composition,unauthorised substance sildenafil,serious
"nuts, nut products and seeds",romania,india,pesticide residues,unauthorised substance ethylene oxide,serious
poultry meat and poultry meat products,poland,poland,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues","malathion,unauthorised substance chlorpyrifos-methyl",undecided
"soups, broths, sauces and condiments",netherlands,belgium,microbial contaminants (other),listeria monocytogenes,serious
meat and meat products (other than poultry),belgium,belgium,microbial contaminants (other),shigatoxin-producing escherichia coli,serious
"nuts, nut products and seeds",spain,"netherlands,spain",pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,italy,"india,italy",pesticide residues,unauthorised substance ethylene oxide,undecided
fruits and vegetables,bulgaria,turkey,pesticide residues,prochloraz,serious
poultry meat and poultry meat products,france,france,pathogenic micro-organisms,salmonella enterica ser. typhimurium,serious
cereals and bakery products,denmark,denmark,foreign bodies,metal pieces,serious
"nuts, nut products and seeds",finland,vietnam,mycotoxins,aflatoxins,serious
food contact materials,germany,spain,"metals,metals","migration of arsenic,migration of lead",serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues","acetamiprid,azoxystrobin,boscalid,buprofezin,deltamethrin,esfenvalerate,pyraclostrobin,thiophanate-methyl,unauthorised substance carbendazim",serious
"soups, broths, sauces and condiments",belgium,belgium,allergens,sesame undeclared,serious
cereals and bakery products,spain,"india,spain",pesticide residues,unauthorised substance ethylene oxide,undecided
cereals and bakery products,germany,germany,"natural toxins (other),natural toxins (other)","atropine,scopolamine",undecided
"soups, broths, sauces and condiments",germany,germany,"pesticide residues,pesticide residues","2-chloroethanol,unauthorised substance ethylene oxide",serious
eggs and egg products,latvia,ukraine,pathogenic micro-organisms,salmonella enterica ser. coeln,serious
poultry meat and poultry meat products,poland,poland,pathogenic micro-organisms,salmonella,serious
confectionery,germany,france,foreign bodies,foreign body,not serious
pet food,germany,poland,pathogenic micro-organisms,salmonella,serious
feed materials,belgium,netherlands,pesticide residues,unauthorised substance matrine,not serious
"dietetic foods, food supplements, fortified foods",germany,india,pathogenic micro-organisms,salmonella,serious
pet food,poland,poland,pesticide residues,unauthorised substance chlorpyrifos,not serious
cereals and bakery products,germany,bosnia and herzegovina,pesticide residues,2-chloroethanol,serious
other food product / mixed,united kingdom,france,"allergens,allergens,allergens,allergens,food additives and flavourings","celery undeclared,egg undeclared,fish undeclared,mustard undeclared,sulphite undeclared",serious
fruits and vegetables,croatia,bosnia and herzegovina,radiation,too high level of radioactivity,serious
feed materials,belgium,germany,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
crustaceans and products thereof,netherlands,netherlands,pathogenic micro-organisms,salmonella,serious
cereals and bakery products,spain,"india,spain",pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,croatia,republic of north macedonia,process contaminants,high content of acrylamide,not serious
"nuts, nut products and seeds",netherlands,india,pesticide residues,unauthorised substance ethylene oxide,undecided
confectionery,united kingdom,belgium,"labelling absent/incomplete/incorrect,allergens","incorrect expiry date,milk ingredient undeclared",serious
feed materials,germany,germany,pathogenic micro-organisms,salmonella group b,serious
"nuts, nut products and seeds",netherlands,"germany,india",pesticide residues,unauthorised substance ethylene oxide,serious
fish and fish products,spain,south korea,poor or insufficient controls,poor temperature control,not serious
confectionery,lithuania,latvia,process contaminants,high content of acrylamide,undecided
"nuts, nut products and seeds",germany,"germany,india",pesticide residues,unauthorised substance ethylene oxide,serious
fats and oils,germany,italy,pesticide residues,2-chloroethanol,serious
herbs and spices,italy,india,mycotoxins,aflatoxins,serious
feed materials,germany,germany,pathogenic micro-organisms,salmonella,not serious
cereals and bakery products,united kingdom,ghana,mycotoxins,aflatoxins,serious
cereals and bakery products,italy,turkey,labelling absent/incomplete/incorrect,incorrect labelling,undecided
non-alcoholic beverages,portugal,bangladesh,"food additives and flavourings,food additives and flavourings","sulphite unauthorised,sulphite undeclared",serious
cereals and bakery products,czech republic,czech republic,pesticide residues,unauthorised substance ethylene oxide,serious
meat and meat products (other than poultry),poland,poland,microbial contaminants (other),listeria monocytogenes,serious
fruits and vegetables,belgium,spain,metals,cadmium,undecided
cereals and bakery products,germany,netherlands,pesticide residues,unauthorised substance ethylene oxide,undecided
other food product / mixed,portugal,colombia,food additives and flavourings,too high content of e 200 - sorbic acid,not serious
alcoholic beverages,spain,belgium,composition,high level of alkalinity,serious
confectionery,lithuania,ukraine,process contaminants,high content of acrylamide,undecided
fish and fish products,sweden,vietnam,residues of veterinary medicinal products,unauthorised substance leucomalachite green,serious
food contact materials,finland,hong kong,industrial contaminants,migration of melamine,serious
poultry meat and poultry meat products,hungary,poland,pathogenic micro-organisms,salmonella enterica ser. infantis,not serious
food contact materials,finland,"china,hong kong",industrial contaminants,migration of melamine,serious
fruits and vegetables,italy,turkey,mycotoxins,aflatoxins,serious
cereals and bakery products,italy,india,pesticide residues,unauthorised substance ethylene oxide,serious
cereals and bakery products,luxembourg,luxembourg,pesticide residues,unauthorised substance ethylene oxide,serious
poultry meat and poultry meat products,france,france,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. bredeney,salmonella enterica ser. typhimurium monophasic",serious
pet food,germany,germany,pathogenic micro-organisms,salmonella enterica ser. derby,serious
meat and meat products (other than poultry),italy,italy,pathogenic micro-organisms,salmonella,serious
fruits and vegetables,germany,egypt,"pesticide residues,pesticide residues","thiophanate-methyl,unauthorised substance chlorpyrifos",undecided
meat and meat products (other than poultry),switzerland,spain,pathogenic micro-organisms,salmonella enterica ser. rissen,serious
poultry meat and poultry meat products,sweden,hungary,pathogenic micro-organisms,salmonella,not serious
alcoholic beverages,finland,germany,packaging defective / incorrect,risk of breakage,undecided
cereals and bakery products,germany,slovakia,mycotoxins,fumonisins,serious
"nuts, nut products and seeds",austria,india,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,austria,egypt,"pesticide residues,pesticide residues,pesticide residues,pesticide residues,pesticide residues","lambda-cyhalothrin,lufenuron,penconazole,propiconazole,unauthorised substance chlorpyrifos",undecided
"nuts, nut products and seeds",germany,united states,mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",switzerland,united states,mycotoxins,ochratoxin a,serious
feed materials,belgium,france,composition,too high content of ragweed (ambrosia spp.) seeds,serious
fish and fish products,united kingdom,united states,poor or insufficient controls,poor temperature control,not serious
herbs and spices,germany,turkey,natural toxins (other),pyrrolizidine alkaloids,undecided
"nuts, nut products and seeds",germany,netherlands,foreign bodies,glass fragments,serious
"nuts, nut products and seeds",sweden,denmark,pathogenic micro-organisms,salmonella enterica ser. agona,serious
fruits and vegetables,hungary,"republic of north macedonia,turkey",pesticide residues,unauthorised substance chlorpyrifos-methyl,undecided
cereals and bakery products,belgium,turkey,allergens,wheat undeclared,serious
fish and fish products,spain,china,poor or insufficient controls,unauthorised operator,not serious
"nuts, nut products and seeds",sweden,india,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",poland,"india,poland",pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",netherlands,argentina,mycotoxins,aflatoxins,serious
"nuts, nut products and seeds",france,iran,mycotoxins,aflatoxins,serious
"dietetic foods, food supplements, fortified foods",sweden,unknown origin,novel food,unauthorised novel food ingredient bulbine natalensis,undecided
cereals and bakery products,germany,germany,allergens,lupin undeclared,serious
fruits and vegetables,united kingdom,thailand,"pathogenic micro-organisms,microbial contaminants (other)","salmonella,high count of escherichia coli",serious
feed materials,austria,italy,pathogenic micro-organisms,salmonella enterica ser. senftenberg,not serious
"soups, broths, sauces and condiments",italy,"india,italy",pesticide residues,unauthorised substance ethylene oxide,serious
